Problem name, Success Rate, Avg success time (ms), Success Score, Avg Success Iterations, Best failure score, Avg failure score, Avg Failure Percent of best, Best failure fitness, Avg failure fitness, Avg failure iterations
FLEI,0.965,335.2373174145077,2139.0,1240.917098445596,2122.0,2122.0,99.2052360916316,0.00794763908368401,0.00794763908368401,1240.917098445596
HP1,0.96,301.1446600729166,3418.0,1234.1614583333333,3404.0,3392.875,99.26492100643651,0.0040959625511994835,0.007350789935634872,1234.1614583333333
HP2,0.91,666.2202019285713,3186.0,2758.879120879121,3168.0,3129.722222222222,98.23359140684941,0.005649717514124242,0.017664085931505886,2758.879120879121
PB1,0.95,339.1998595842106,3090.0,1567.4684210526316,3076.0,3067.7,99.27831715210355,0.0045307443365695255,0.007216828478964377,1567.4684210526316
PB2,0.94,556.3183838989364,3186.0,2193.1436170212764,3173.0,3155.4166666666665,99.04007114459091,0.004080351537978699,0.009599288554090804,2193.1436170212764
PB4,0.995,16.858228703517593,95168.0,128.73869346733667,91935.0,91935.0,96.60284969737727,0.03397150302622731,0.03397150302622731,128.73869346733667
PB5,0.93,395.0154189946238,2139.0,1527.4193548387098,2122.0,2116.714285714286,98.95812462432379,0.00794763908368401,0.01041875375676222,1527.4193548387098
PB6,0.945,268.8497154338625,776.0,476.6296296296296,762.0,754.2727272727273,97.20009372071227,0.01804123711340211,0.027999062792877238,476.6296296296296
PB7,0.515,775.5537165145635,1035.0,748.8640776699029,1034.0,1025.0309278350514,99.0368046217441,9.661835748792091E-4,0.009631953782558883,748.8640776699029
PET2,1.0,0.6212186750000002,87061.0,2.22,87061.0,87061.0,100.0,0.0,0.0,2.22
PET3,1.0,2.4755885799999997,4015.0,9.245,4015.0,4015.0,100.0,0.0,0.0,9.245
PET4,1.0,7.719596155000001,6120.0,29.18,6120.0,6120.0,100.0,0.0,0.0,29.18
PET5,0.99,206.51103241414145,12400.0,515.8888888888889,12390.0,12390.0,99.91935483870968,8.064516129032695E-4,8.064516129032695E-4,515.8888888888889
PET6,0.83,639.130018873494,10618.0,1746.4397590361446,10605.0,10574.0,99.58560934262573,0.0012243360331513076,0.0041439065737427115,1746.4397590361446
PET7,0.66,963.3222960075752,16537.0,2252.992424242424,16524.0,16457.308823529413,99.51810378865218,7.861159823425723E-4,0.004818962113478146,2252.992424242424
SENTO1,0.66,500.73386925000005,7772.0,387.68939393939394,7761.0,7747.0,99.67833247555326,0.001415337107565584,0.003216675244467326,387.68939393939394
SENTO2,0.295,803.9661976610167,8722.0,389.52542372881356,8721.0,8702.439716312057,99.77573625673077,1.1465260261411814E-4,0.0022426374326924192,389.52542372881356
WEING1,1.0,6.459545954999995,141278.0,48.56,141278.0,141278.0,100.0,0.0,0.0,48.56
WEING2,1.0,4.908587445000003,130883.0,41.81,130883.0,130883.0,100.0,0.0,0.0,41.81
WEING3,1.0,2.927060135,95677.0,30.28,95677.0,95677.0,100.0,0.0,0.0,30.28
WEING4,1.0,9.017629469999997,119337.0,68.95,119337.0,119337.0,100.0,0.0,0.0,68.95
WEING5,1.0,3.7116113500000028,98796.0,37.495,98796.0,98796.0,100.0,0.0,0.0,37.495
WEING6,1.0,25.425012935,130623.0,235.075,130623.0,130623.0,100.0,0.0,0.0,235.075
WEING7,0.585,982.8670033504276,1095445.0,1809.4871794871794,1095382.0,1094508.5060240964,99.91451017842944,5.751087457606108E-5,8.548982157055901E-4,1809.4871794871794
WEING8,0.88,610.5906935397725,624319.0,2699.340909090909,624116.0,619883.25,99.28950584556934,3.2515428811230596E-4,0.007104941544306668,2699.340909090909
WEISH01,1.0,5.733402319999998,4554.0,30.045,4554.0,4554.0,100.0,0.0,0.0,30.045
WEISH02,0.885,399.87593546327685,4536.0,1893.8757062146892,4531.0,4531.0,99.88977072310405,0.0011022927689594564,0.0011022927689594564,1893.8757062146892
WEISH03,1.0,11.835000189999992,4115.0,62.945,4115.0,4115.0,100.0,0.0,0.0,62.945
WEISH04,1.0,4.703143724999996,4561.0,28.185,4561.0,4561.0,100.0,0.0,0.0,28.185
WEISH05,1.0,4.484588400000002,4514.0,27.43,4514.0,4514.0,100.0,0.0,0.0,27.43
WEISH06,0.865,404.8336521965317,5557.0,1456.6300578034682,5544.0,5543.074074074074,99.749398489726,0.002339391758142906,0.0025060151027399805,1456.6300578034682
WEISH07,1.0,81.07787466999997,5567.0,300.465,5567.0,5567.0,100.0,0.0,0.0,300.465
WEISH08,0.945,316.1078596613755,5605.0,1073.6243386243386,5603.0,5603.0,99.96431757359501,3.568242640499264E-4,3.568242640499264E-4,1073.6243386243386
WEISH09,1.0,15.104538730000003,5246.0,69.97,5246.0,5246.0,100.0,0.0,0.0,69.97
WEISH10,0.99,137.93883877777782,6339.0,478.22222222222223,6312.0,6301.5,99.40842404164695,0.004259346900141958,0.005915759583530522,478.22222222222223
WEISH11,0.9,436.2469935000002,5643.0,1658.7111111111112,5639.0,5622.7,99.64026227184122,7.088428141059921E-4,0.003597377281587799,1658.7111111111112
WEISH12,1.0,68.02272671500003,6339.0,239.65,6339.0,6339.0,100.0,0.0,0.0,239.65
WEISH13,1.0,51.75737945999999,6159.0,188.51,6159.0,6159.0,100.0,0.0,0.0,188.51
WEISH14,0.86,445.8245122906977,6954.0,1366.7906976744187,6923.0,6916.857142857143,99.46587780927729,0.0044578659764163975,0.0053412219072270384,1366.7906976744187
WEISH15,1.0,72.99209734499999,7486.0,215.905,7486.0,7486.0,100.0,0.0,0.0,215.905
