0,4.942
1,4.79
2,4.662
3,4.305
4,3.536
5,1.914
6,0.545
7,0.202
8,0.17
9,0.174
10,0.176
11,0.148
12,0.159
13,0.16
14,0.135
15,0.165
16,0.166
