0.5,0.020734294
0,0.022032776
0.25,0.02215807
0.75,0.024834664
0.51,0.0195185
0.01,0.019747569
0.26,0.020066175
0.76,0.021773496
0.52,0.020622218
0.02,0.020503547
0.27,0.020886296
0.77,0.026709011
0.53,0.022954218
0.03,0.020715149
0.28,0.01991391
0.78,0.026862435
0.54,0.020699972
0.29,0.022136643
0.04,0.02365983
0.55,0.021174424
0.79,0.026276751
0.3,0.022912519
0.05,0.022630239
0.56,0.022963727
0.8,0.025443348
0.06,0.021424693
0.31,0.02237322
0.57,0.021395717
0.32,0.018919106
0.07,0.019365028
0.81,0.022344306
0.58,0.022760682
0.33,0.022139375
0.08,0.023367157
0.82,0.026591872
0.34,0.022538328
0.59,0.022967698
0.09,0.022064586
0.83,0.029366566
0.35,0.022557996
0.6,0.023462301
0.1,0.023392435
0.84,0.027855878
0.36,0.02327786
0.11,0.022495635
0.61,0.023045511
0.37,0.022128725
0.12,0.021857259
0.85,0.02705465
0.62,0.023449815
0.38,0.021998922
0.13,0.021501785
0.63,0.022985958
0.86,0.027037034
0.39,0.019806858
0.14,0.021772582
0.64,0.021267597
0.87,0.02459412
0.4,0.022451266
0.15,0.022075631
0.65,0.022507663
0.88,0.027882488
0.41,0.022053059
0.16,0.022631187
0.66,0.02087366
0.89,0.025979806
0.42,0.020913864
0.17,0.023106231
0.67,0.026937516
0.43,0.021598626
0.9,0.02604423
0.18,0.021567065
0.68,0.026607452
0.44,0.022388375
0.19,0.021287064
0.91,0.027203551
0.69,0.025125206
0.45,0.022762668
0.2,0.021786889
0.92,0.025713789
0.7,0.02639936
0.46,0.024034424
0.21,0.022316559
0.93,0.02704143
0.22,0.020987953
0.47,0.022519962
0.71,0.027429423
0.94,0.025042876
0.23,0.022246189
0.48,0.021820721
0.72,0.026356587
0.95,0.025565555
0.24,0.021732207
0.49,0.022340576
0.73,0.019518197
0.96,0.010190253
0.74,0.009494727
0.97,0.008687231
0.98,0.007256222
0.99,0.007667061
1,0.013006444
